# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-03-09 16:56:05 EST       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 10039500 BEAR RIVER AT BORDER, WY
# -----------------------------------------------------------------------------------
#
# Data provided for site 10039500
#            TS   parameter     statistic     Description
#        143401       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	143401_00060_00003	143401_00060_00003_cd
5s	15s	20d	14n	10s
USGS	10039500	2015-01-01	125	A:e
USGS	10039500	2015-01-02	138	A:e
USGS	10039500	2015-01-03	155	A:e
USGS	10039500	2015-01-04	170	A:e
USGS	10039500	2015-01-05	177	A:e
USGS	10039500	2015-01-06	175	A:e
USGS	10039500	2015-01-07	175	A:e
USGS	10039500	2015-01-08	177	A:e
USGS	10039500	2015-01-09	175	A:e
USGS	10039500	2015-01-10	185	A:e
USGS	10039500	2015-01-11	190	A:e
USGS	10039500	2015-01-12	198	A:e
USGS	10039500	2015-01-13	196	A:e
USGS	10039500	2015-01-14	188	A:e
USGS	10039500	2015-01-15	191	A:e
USGS	10039500	2015-01-16	192	A:e
USGS	10039500	2015-01-17	195	A:e
USGS	10039500	2015-01-18	191	A:e
USGS	10039500	2015-01-19	192	A:e
USGS	10039500	2015-01-20	185	A:e
USGS	10039500	2015-01-21	181	A:e
USGS	10039500	2015-01-22	177	A:e
USGS	10039500	2015-01-23	185	A:e
USGS	10039500	2015-01-24	187	A:e
USGS	10039500	2015-01-25	189	A:e
USGS	10039500	2015-01-26	194	A:e
USGS	10039500	2015-01-27	191	A:e
USGS	10039500	2015-01-28	197	A:e
USGS	10039500	2015-01-29	198	A:e
USGS	10039500	2015-01-30	197	A:e
USGS	10039500	2015-01-31	197	A:e
USGS	10039500	2015-02-01	193	A:e
USGS	10039500	2015-02-02	204	A:e
USGS	10039500	2015-02-03	222	A:e
USGS	10039500	2015-02-04	255	A:e
USGS	10039500	2015-02-05	270	A:e
USGS	10039500	2015-02-06	390	A:e
USGS	10039500	2015-02-07	368	A:e
USGS	10039500	2015-02-08	340	A:e
USGS	10039500	2015-02-09	300	A:e
USGS	10039500	2015-02-10	295	A:e
USGS	10039500	2015-02-11	265	A:e
USGS	10039500	2015-02-12	250	A:e
USGS	10039500	2015-02-13	245	A
USGS	10039500	2015-02-14	239	A
USGS	10039500	2015-02-15	237	A
USGS	10039500	2015-02-16	232	A
USGS	10039500	2015-02-17	203	A
USGS	10039500	2015-02-18	191	A
USGS	10039500	2015-02-19	204	A
USGS	10039500	2015-02-20	212	A
USGS	10039500	2015-02-21	205	A
USGS	10039500	2015-02-22	189	A
USGS	10039500	2015-02-23	170	A
USGS	10039500	2015-02-24	185	A
USGS	10039500	2015-02-25	193	A
USGS	10039500	2015-02-26	196	A
USGS	10039500	2015-02-27	185	A
USGS	10039500	2015-02-28	183	A
USGS	10039500	2015-03-01	188	A
USGS	10039500	2015-03-02	186	A
USGS	10039500	2015-03-03	185	A
USGS	10039500	2015-03-04	179	A
USGS	10039500	2015-03-05	165	A
USGS	10039500	2015-03-06	174	A
USGS	10039500	2015-03-07	182	A
USGS	10039500	2015-03-08	181	A
USGS	10039500	2015-03-09	180	A
USGS	10039500	2015-03-10	181	A
USGS	10039500	2015-03-11	184	A
USGS	10039500	2015-03-12	179	A
USGS	10039500	2015-03-13	171	A
USGS	10039500	2015-03-14	185	A
USGS	10039500	2015-03-15	190	A
USGS	10039500	2015-03-16	195	A
USGS	10039500	2015-03-17	216	A
USGS	10039500	2015-03-18	227	A
USGS	10039500	2015-03-19	225	A
USGS	10039500	2015-03-20	223	A
USGS	10039500	2015-03-21	212	A
USGS	10039500	2015-03-22	206	A
USGS	10039500	2015-03-23	214	A
USGS	10039500	2015-03-24	222	A
USGS	10039500	2015-03-25	219	A
USGS	10039500	2015-03-26	209	A
USGS	10039500	2015-03-27	205	A
USGS	10039500	2015-03-28	211	A
USGS	10039500	2015-03-29	204	A
USGS	10039500	2015-03-30	190	A
USGS	10039500	2015-03-31	187	A
USGS	10039500	2015-04-01	185	A
USGS	10039500	2015-04-02	190	A
USGS	10039500	2015-04-03	175	A
USGS	10039500	2015-04-04	158	A
USGS	10039500	2015-04-05	145	A
USGS	10039500	2015-04-06	144	A
USGS	10039500	2015-04-07	149	A
USGS	10039500	2015-04-08	149	A
USGS	10039500	2015-04-09	164	A
USGS	10039500	2015-04-10	164	A
USGS	10039500	2015-04-11	159	A
USGS	10039500	2015-04-12	162	A
USGS	10039500	2015-04-13	166	A
USGS	10039500	2015-04-14	170	A
USGS	10039500	2015-04-15	176	A
USGS	10039500	2015-04-16	187	A
USGS	10039500	2015-04-17	179	A
USGS	10039500	2015-04-18	181	A
USGS	10039500	2015-04-19	174	A
USGS	10039500	2015-04-20	177	A
USGS	10039500	2015-04-21	179	A
USGS	10039500	2015-04-22	191	A
USGS	10039500	2015-04-23	195	A
USGS	10039500	2015-04-24	212	A
USGS	10039500	2015-04-25	220	A
USGS	10039500	2015-04-26	224	A
USGS	10039500	2015-04-27	232	A
USGS	10039500	2015-04-28	186	A
USGS	10039500	2015-04-29	186	A
USGS	10039500	2015-04-30	181	A
USGS	10039500	2015-05-01	199	A
USGS	10039500	2015-05-02	208	A
USGS	10039500	2015-05-03	233	A
USGS	10039500	2015-05-04	275	A
USGS	10039500	2015-05-05	291	A
USGS	10039500	2015-05-06	344	A
USGS	10039500	2015-05-07	361	A
USGS	10039500	2015-05-08	436	A
USGS	10039500	2015-05-09	455	A
USGS	10039500	2015-05-10	497	A
USGS	10039500	2015-05-11	455	A
USGS	10039500	2015-05-12	416	A
USGS	10039500	2015-05-13	405	A
USGS	10039500	2015-05-14	397	A
USGS	10039500	2015-05-15	403	A
USGS	10039500	2015-05-16	461	A
USGS	10039500	2015-05-17	497	A
USGS	10039500	2015-05-18	463	A
USGS	10039500	2015-05-19	448	A
USGS	10039500	2015-05-20	483	A
USGS	10039500	2015-05-21	492	A
USGS	10039500	2015-05-22	517	A
USGS	10039500	2015-05-23	548	A
USGS	10039500	2015-05-24	599	A
USGS	10039500	2015-05-25	611	A
USGS	10039500	2015-05-26	624	A
USGS	10039500	2015-05-27	640	A
USGS	10039500	2015-05-28	658	A
USGS	10039500	2015-05-29	700	A
USGS	10039500	2015-05-30	678	A
USGS	10039500	2015-05-31	651	A
USGS	10039500	2015-06-01	663	A
USGS	10039500	2015-06-02	681	A
USGS	10039500	2015-06-03	726	A
USGS	10039500	2015-06-04	726	A
USGS	10039500	2015-06-05	708	A
USGS	10039500	2015-06-06	678	A
USGS	10039500	2015-06-07	687	A
USGS	10039500	2015-06-08	672	A
USGS	10039500	2015-06-09	705	A
USGS	10039500	2015-06-10	709	A
USGS	10039500	2015-06-11	764	A
USGS	10039500	2015-06-12	794	A
USGS	10039500	2015-06-13	810	A
USGS	10039500	2015-06-14	810	A
USGS	10039500	2015-06-15	763	A
USGS	10039500	2015-06-16	771	A
USGS	10039500	2015-06-17	734	A
USGS	10039500	2015-06-18	675	A
USGS	10039500	2015-06-19	620	A
USGS	10039500	2015-06-20	567	A
USGS	10039500	2015-06-21	523	A
USGS	10039500	2015-06-22	520	A
USGS	10039500	2015-06-23	476	A
USGS	10039500	2015-06-24	446	A
USGS	10039500	2015-06-25	433	A
USGS	10039500	2015-06-26	424	A
USGS	10039500	2015-06-27	418	A
USGS	10039500	2015-06-28	406	A
USGS	10039500	2015-06-29	403	A
USGS	10039500	2015-06-30	408	A
USGS	10039500	2015-07-01	416	A
USGS	10039500	2015-07-02	392	A
USGS	10039500	2015-07-03	418	A
USGS	10039500	2015-07-04	397	A
USGS	10039500	2015-07-05	380	A
USGS	10039500	2015-07-06	393	A
USGS	10039500	2015-07-07	497	A
USGS	10039500	2015-07-08	515	A
USGS	10039500	2015-07-09	548	A
USGS	10039500	2015-07-10	509	A
USGS	10039500	2015-07-11	479	A
USGS	10039500	2015-07-12	448	A
USGS	10039500	2015-07-13	417	A
USGS	10039500	2015-07-14	403	A
USGS	10039500	2015-07-15	380	A
USGS	10039500	2015-07-16	353	A
USGS	10039500	2015-07-17	343	A
USGS	10039500	2015-07-18	346	A
USGS	10039500	2015-07-19	348	A
USGS	10039500	2015-07-20	333	A
USGS	10039500	2015-07-21	327	A
USGS	10039500	2015-07-22	302	A
USGS	10039500	2015-07-23	294	A
USGS	10039500	2015-07-24	285	A
USGS	10039500	2015-07-25	270	A
USGS	10039500	2015-07-26	259	A
USGS	10039500	2015-07-27	244	A
USGS	10039500	2015-07-28	233	A
USGS	10039500	2015-07-29	225	A
USGS	10039500	2015-07-30	209	A
USGS	10039500	2015-07-31	192	A
USGS	10039500	2015-08-01	177	A
USGS	10039500	2015-08-02	169	A
USGS	10039500	2015-08-03	167	A
USGS	10039500	2015-08-04	188	A
USGS	10039500	2015-08-05	200	A
USGS	10039500	2015-08-06	197	A
USGS	10039500	2015-08-07	199	A
USGS	10039500	2015-08-08	202	A
USGS	10039500	2015-08-09	207	A
USGS	10039500	2015-08-10	198	A
USGS	10039500	2015-08-11	195	A
USGS	10039500	2015-08-12	186	A
USGS	10039500	2015-08-13	154	A
USGS	10039500	2015-08-14	163	A
USGS	10039500	2015-08-15	166	A
USGS	10039500	2015-08-16	160	A
USGS	10039500	2015-08-17	153	A
USGS	10039500	2015-08-18	144	A
USGS	10039500	2015-08-19	126	A
USGS	10039500	2015-08-20	119	A
USGS	10039500	2015-08-21	116	A
USGS	10039500	2015-08-22	118	A
USGS	10039500	2015-08-23	136	A
USGS	10039500	2015-08-24	142	A
USGS	10039500	2015-08-25	132	A
USGS	10039500	2015-08-26	133	A
USGS	10039500	2015-08-27	126	A
USGS	10039500	2015-08-28	123	A
USGS	10039500	2015-08-29	121	A
USGS	10039500	2015-08-30	102	A
USGS	10039500	2015-08-31	105	A
USGS	10039500	2015-09-01	106	A
USGS	10039500	2015-09-02	110	A
USGS	10039500	2015-09-03	107	A
USGS	10039500	2015-09-04	103	A
USGS	10039500	2015-09-05	101	A
USGS	10039500	2015-09-06	99.5	A
USGS	10039500	2015-09-07	101	A
USGS	10039500	2015-09-08	99.7	A
USGS	10039500	2015-09-09	93.8	A
USGS	10039500	2015-09-10	90.8	A
USGS	10039500	2015-09-11	89.3	A
USGS	10039500	2015-09-12	87.8	A
USGS	10039500	2015-09-13	87.4	A
USGS	10039500	2015-09-14	88.0	A
USGS	10039500	2015-09-15	94.5	A
USGS	10039500	2015-09-16	104	A
USGS	10039500	2015-09-17	116	A
USGS	10039500	2015-09-18	115	A
USGS	10039500	2015-09-19	110	A
USGS	10039500	2015-09-20	104	A
USGS	10039500	2015-09-21	102	A
USGS	10039500	2015-09-22	102	A
USGS	10039500	2015-09-23	101	A
USGS	10039500	2015-09-24	110	A
USGS	10039500	2015-09-25	110	A
USGS	10039500	2015-09-26	107	A
USGS	10039500	2015-09-27	106	A
USGS	10039500	2015-09-28	111	A
USGS	10039500	2015-09-29	116	A
USGS	10039500	2015-09-30	112	A
USGS	10039500	2015-10-01	110	A
USGS	10039500	2015-10-02	112	A
USGS	10039500	2015-10-03	117	A
USGS	10039500	2015-10-04	119	A
USGS	10039500	2015-10-05	118	A
USGS	10039500	2015-10-06	116	A
USGS	10039500	2015-10-07	118	A
USGS	10039500	2015-10-08	122	A
USGS	10039500	2015-10-09	135	A
USGS	10039500	2015-10-10	136	A
USGS	10039500	2015-10-11	137	A
USGS	10039500	2015-10-12	140	A
USGS	10039500	2015-10-13	141	A
USGS	10039500	2015-10-14	137	A
USGS	10039500	2015-10-15	133	A
USGS	10039500	2015-10-16	130	A
USGS	10039500	2015-10-17	131	A
USGS	10039500	2015-10-18	132	A
USGS	10039500	2015-10-19	134	A
USGS	10039500	2015-10-20	136	A
USGS	10039500	2015-10-21	143	A
USGS	10039500	2015-10-22	147	A
USGS	10039500	2015-10-23	146	A
USGS	10039500	2015-10-24	143	A
USGS	10039500	2015-10-25	143	A
USGS	10039500	2015-10-26	142	A
USGS	10039500	2015-10-27	142	A
USGS	10039500	2015-10-28	142	A
USGS	10039500	2015-10-29	141	A
USGS	10039500	2015-10-30	144	A
USGS	10039500	2015-10-31	145	A
USGS	10039500	2015-11-01	143	A
USGS	10039500	2015-11-02	144	A
USGS	10039500	2015-11-03	149	A
USGS	10039500	2015-11-04	146	A
USGS	10039500	2015-11-05	144	A
USGS	10039500	2015-11-06	144	A
USGS	10039500	2015-11-07	140	A
USGS	10039500	2015-11-08	132	A
USGS	10039500	2015-11-09	136	A
USGS	10039500	2015-11-10	144	A
USGS	10039500	2015-11-11	145	A
USGS	10039500	2015-11-12	143	A
USGS	10039500	2015-11-13	153	A
USGS	10039500	2015-11-14	154	A
USGS	10039500	2015-11-15	155	A
USGS	10039500	2015-11-16	160	A
USGS	10039500	2015-11-17	145	A
USGS	10039500	2015-11-18	156	A
USGS	10039500	2015-11-19	151	A
USGS	10039500	2015-11-20	167	A
USGS	10039500	2015-11-21	147	A:e
USGS	10039500	2015-11-22	136	A:e
USGS	10039500	2015-11-23	142	A:e
USGS	10039500	2015-11-24	147	A:e
USGS	10039500	2015-11-25	150	A:e
USGS	10039500	2015-11-26	149	A:e
USGS	10039500	2015-11-27	141	A:e
USGS	10039500	2015-11-28	148	A:e
USGS	10039500	2015-11-29	137	A:e
USGS	10039500	2015-11-30	141	A:e
USGS	10039500	2015-12-01	124	A:e
USGS	10039500	2015-12-02	122	A:e
USGS	10039500	2015-12-03	129	A:e
USGS	10039500	2015-12-04	141	A:e
USGS	10039500	2015-12-05	137	A:e
USGS	10039500	2015-12-06	130	A:e
USGS	10039500	2015-12-07	132	A:e
USGS	10039500	2015-12-08	140	A:e
USGS	10039500	2015-12-09	148	A:e
USGS	10039500	2015-12-10	155	A:e
USGS	10039500	2015-12-11	151	A:e
USGS	10039500	2015-12-12	137	A:e
USGS	10039500	2015-12-13	137	A:e
USGS	10039500	2015-12-14	147	A:e
USGS	10039500	2015-12-15	142	A:e
USGS	10039500	2015-12-16	139	A:e
USGS	10039500	2015-12-17	137	A:e
USGS	10039500	2015-12-18	132	A:e
USGS	10039500	2015-12-19	132	A:e
USGS	10039500	2015-12-20	138	A:e
USGS	10039500	2015-12-21	137	A:e
USGS	10039500	2015-12-22	137	A:e
USGS	10039500	2015-12-23	132	A:e
USGS	10039500	2015-12-24	127	A:e
USGS	10039500	2015-12-25	121	A:e
USGS	10039500	2015-12-26	106	A:e
USGS	10039500	2015-12-27	85.0	A:e
USGS	10039500	2015-12-28	90.0	A:e
USGS	10039500	2015-12-29	106	A:e
USGS	10039500	2015-12-30	103	A:e
USGS	10039500	2015-12-31	85.0	A:e
USGS	10039500	2016-01-01	75.0	A:e
USGS	10039500	2016-01-02	78.0	A:e
USGS	10039500	2016-01-03	100	A:e
USGS	10039500	2016-01-04	110	A:e
USGS	10039500	2016-01-05	120	A:e
USGS	10039500	2016-01-06	125	A:e
USGS	10039500	2016-01-07	127	A:e
USGS	10039500	2016-01-08	121	A:e
USGS	10039500	2016-01-09	120	A:e
USGS	10039500	2016-01-10	117	A:e
USGS	10039500	2016-01-11	117	A:e
USGS	10039500	2016-01-12	111	A:e
USGS	10039500	2016-01-13	113	A:e
USGS	10039500	2016-01-14	120	A:e
USGS	10039500	2016-01-15	122	A:e
USGS	10039500	2016-01-16	120	A:e
USGS	10039500	2016-01-17	118	A:e
USGS	10039500	2016-01-18	115	A:e
USGS	10039500	2016-01-19	117	A:e
USGS	10039500	2016-01-20	124	A:e
USGS	10039500	2016-01-21	122	A:e
USGS	10039500	2016-01-22	120	A:e
USGS	10039500	2016-01-23	120	A:e
USGS	10039500	2016-01-24	121	A:e
USGS	10039500	2016-01-25	122	A:e
USGS	10039500	2016-01-26	117	A:e
USGS	10039500	2016-01-27	111	A:e
USGS	10039500	2016-01-28	113	A:e
USGS	10039500	2016-01-29	121	A:e
USGS	10039500	2016-01-30	117	A:e
USGS	10039500	2016-01-31	117	A:e
USGS	10039500	2016-02-01	117	A:e
USGS	10039500	2016-02-02	106	A:e
USGS	10039500	2016-02-03	111	A:e
USGS	10039500	2016-02-04	106	A:e
USGS	10039500	2016-02-05	106	A:e
USGS	10039500	2016-02-06	113	A:e
USGS	10039500	2016-02-07	114	A:e
USGS	10039500	2016-02-08	122	A:e
USGS	10039500	2016-02-09	122	A:e
USGS	10039500	2016-02-10	122	A:e
USGS	10039500	2016-02-11	117	A:e
USGS	10039500	2016-02-12	118	A:e
USGS	10039500	2016-02-13	118	A:e
USGS	10039500	2016-02-14	119	A:e
USGS	10039500	2016-02-15	120	A:e
USGS	10039500	2016-02-16	129	A:e
USGS	10039500	2016-02-17	136	A:e
USGS	10039500	2016-02-18	143	A:e
USGS	10039500	2016-02-19	147	A:e
USGS	10039500	2016-02-20	148	A:e
USGS	10039500	2016-02-21	149	A:e
USGS	10039500	2016-02-22	152	A:e
USGS	10039500	2016-02-23	150	A:e
USGS	10039500	2016-02-24	149	A:e
USGS	10039500	2016-02-25	148	A:e
USGS	10039500	2016-02-26	149	A:e
USGS	10039500	2016-02-27	152	A:e
USGS	10039500	2016-02-28	154	A:e
USGS	10039500	2016-02-29	153	A:e
USGS	10039500	2016-03-01	152	A:e
USGS	10039500	2016-03-02	158	A:e
USGS	10039500	2016-03-03	162	A:e
USGS	10039500	2016-03-04	174	A:e
USGS	10039500	2016-03-05	194	A:e
USGS	10039500	2016-03-06	208	A:e
USGS	10039500	2016-03-07	229	A:e
USGS	10039500	2016-03-08	226	A:e
USGS	10039500	2016-03-09	232	A:e
USGS	10039500	2016-03-10	230	A
USGS	10039500	2016-03-11	231	A
USGS	10039500	2016-03-12	239	A
USGS	10039500	2016-03-13	261	A
USGS	10039500	2016-03-14	268	A
