# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-03-07 14:00:47 EST       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09429600 COLORADO RIVER BELOW LAGUNA DAM, AZ-CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 09429600
#            TS   parameter     statistic     Description
#          5438       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	5438_00060_00003	5438_00060_00003_cd
5s	15s	20d	14n	10s
USGS	09429600	2015-01-01	340	A
USGS	09429600	2015-01-02	332	A
USGS	09429600	2015-01-03	336	A
USGS	09429600	2015-01-04	337	A
USGS	09429600	2015-01-05	506	A
USGS	09429600	2015-01-06	582	A
USGS	09429600	2015-01-07	568	A
USGS	09429600	2015-01-08	567	A
USGS	09429600	2015-01-09	448	A
USGS	09429600	2015-01-10	394	A
USGS	09429600	2015-01-11	393	A
USGS	09429600	2015-01-12	396	A
USGS	09429600	2015-01-13	393	A
USGS	09429600	2015-01-14	390	A
USGS	09429600	2015-01-15	446	A
USGS	09429600	2015-01-16	462	A
USGS	09429600	2015-01-17	415	A
USGS	09429600	2015-01-18	415	A
USGS	09429600	2015-01-19	414	A
USGS	09429600	2015-01-20	414	A
USGS	09429600	2015-01-21	413	A
USGS	09429600	2015-01-22	411	A
USGS	09429600	2015-01-23	413	A
USGS	09429600	2015-01-24	414	A
USGS	09429600	2015-01-25	413	A
USGS	09429600	2015-01-26	413	A
USGS	09429600	2015-01-27	417	A
USGS	09429600	2015-01-28	419	A
USGS	09429600	2015-01-29	420	A
USGS	09429600	2015-01-30	418	A
USGS	09429600	2015-01-31	419	A
USGS	09429600	2015-02-01	418	A
USGS	09429600	2015-02-02	416	A
USGS	09429600	2015-02-03	412	A
USGS	09429600	2015-02-04	414	A
USGS	09429600	2015-02-05	408	A
USGS	09429600	2015-02-06	411	A
USGS	09429600	2015-02-07	416	A
USGS	09429600	2015-02-08	422	A
USGS	09429600	2015-02-09	434	A
USGS	09429600	2015-02-10	423	A
USGS	09429600	2015-02-11	416	A
USGS	09429600	2015-02-12	410	A
USGS	09429600	2015-02-13	398	A
USGS	09429600	2015-02-14	392	A
USGS	09429600	2015-02-15	400	A
USGS	09429600	2015-02-16	402	A
USGS	09429600	2015-02-17	400	A
USGS	09429600	2015-02-18	403	A
USGS	09429600	2015-02-19	395	A
USGS	09429600	2015-02-20	398	A
USGS	09429600	2015-02-21	400	A
USGS	09429600	2015-02-22	405	A
USGS	09429600	2015-02-23	393	A
USGS	09429600	2015-02-24	377	A
USGS	09429600	2015-02-25	376	A
USGS	09429600	2015-02-26	385	A
USGS	09429600	2015-02-27	389	A
USGS	09429600	2015-02-28	389	A
USGS	09429600	2015-03-01	383	A
USGS	09429600	2015-03-02	386	A
USGS	09429600	2015-03-03	401	A
USGS	09429600	2015-03-04	1420	A
USGS	09429600	2015-03-05	661	A
USGS	09429600	2015-03-06	409	A
USGS	09429600	2015-03-07	510	A
USGS	09429600	2015-03-08	541	A
USGS	09429600	2015-03-09	475	A
USGS	09429600	2015-03-10	415	A
USGS	09429600	2015-03-11	419	A
USGS	09429600	2015-03-12	430	A
USGS	09429600	2015-03-13	439	A
USGS	09429600	2015-03-14	443	A
USGS	09429600	2015-03-15	438	A
USGS	09429600	2015-03-16	438	A
USGS	09429600	2015-03-17	439	A
USGS	09429600	2015-03-18	473	A
USGS	09429600	2015-03-19	526	A
USGS	09429600	2015-03-20	982	A
USGS	09429600	2015-03-21	711	A
USGS	09429600	2015-03-22	582	A
USGS	09429600	2015-03-23	566	A
USGS	09429600	2015-03-24	550	A
USGS	09429600	2015-03-25	534	A
USGS	09429600	2015-03-26	521	A
USGS	09429600	2015-03-27	507	A
USGS	09429600	2015-03-28	492	A
USGS	09429600	2015-03-29	520	A
USGS	09429600	2015-03-30	545	A
USGS	09429600	2015-03-31	548	A
USGS	09429600	2015-04-01	539	A
USGS	09429600	2015-04-02	529	A
USGS	09429600	2015-04-03	517	A
USGS	09429600	2015-04-04	517	A
USGS	09429600	2015-04-05	953	A
USGS	09429600	2015-04-06	852	A
USGS	09429600	2015-04-07	580	A
USGS	09429600	2015-04-08	542	A
USGS	09429600	2015-04-09	524	A
USGS	09429600	2015-04-10	518	A
USGS	09429600	2015-04-11	518	A
USGS	09429600	2015-04-12	526	A
USGS	09429600	2015-04-13	526	A
USGS	09429600	2015-04-14	536	A
USGS	09429600	2015-04-15	532	A
USGS	09429600	2015-04-16	539	A
USGS	09429600	2015-04-17	536	A
USGS	09429600	2015-04-18	531	A
USGS	09429600	2015-04-19	552	A
USGS	09429600	2015-04-20	565	A
USGS	09429600	2015-04-21	572	A
USGS	09429600	2015-04-22	571	A
USGS	09429600	2015-04-23	570	A
USGS	09429600	2015-04-24	558	A
USGS	09429600	2015-04-25	552	A
USGS	09429600	2015-04-26	540	A
USGS	09429600	2015-04-27	598	A
USGS	09429600	2015-04-28	823	A
USGS	09429600	2015-04-29	599	A
USGS	09429600	2015-04-30	555	A
USGS	09429600	2015-05-01	535	A
USGS	09429600	2015-05-02	515	A
USGS	09429600	2015-05-03	509	A
USGS	09429600	2015-05-04	512	A
USGS	09429600	2015-05-05	529	A
USGS	09429600	2015-05-06	549	A
USGS	09429600	2015-05-07	555	A
USGS	09429600	2015-05-08	549	A
USGS	09429600	2015-05-09	542	A
USGS	09429600	2015-05-10	536	A
USGS	09429600	2015-05-11	531	A
USGS	09429600	2015-05-12	557	A
USGS	09429600	2015-05-13	565	A
USGS	09429600	2015-05-14	555	A
USGS	09429600	2015-05-15	552	A
USGS	09429600	2015-05-16	1500	A
USGS	09429600	2015-05-17	3830	A
USGS	09429600	2015-05-18	1860	A
USGS	09429600	2015-05-19	637	A
USGS	09429600	2015-05-20	580	A
USGS	09429600	2015-05-21	547	A
USGS	09429600	2015-05-22	524	A
USGS	09429600	2015-05-23	514	A
USGS	09429600	2015-05-24	510	A
USGS	09429600	2015-05-25	506	A
USGS	09429600	2015-05-26	497	A
USGS	09429600	2015-05-27	490	A
USGS	09429600	2015-05-28	509	A
USGS	09429600	2015-05-29	527	A
USGS	09429600	2015-05-30	549	A
USGS	09429600	2015-05-31	551	A
USGS	09429600	2015-06-01	544	A
USGS	09429600	2015-06-02	533	A
USGS	09429600	2015-06-03	509	A
USGS	09429600	2015-06-04	489	A
USGS	09429600	2015-06-05	484	A
USGS	09429600	2015-06-06	490	A
USGS	09429600	2015-06-07	476	A
USGS	09429600	2015-06-08	425	A
USGS	09429600	2015-06-09	372	A
USGS	09429600	2015-06-10	372	A
USGS	09429600	2015-06-11	366	A
USGS	09429600	2015-06-12	363	A
USGS	09429600	2015-06-13	357	A
USGS	09429600	2015-06-14	358	A
USGS	09429600	2015-06-15	358	A
USGS	09429600	2015-06-16	360	A
USGS	09429600	2015-06-17	358	A
USGS	09429600	2015-06-18	378	A
USGS	09429600	2015-06-19	449	A
USGS	09429600	2015-06-20	602	A
USGS	09429600	2015-06-21	692	A
USGS	09429600	2015-06-22	651	A
USGS	09429600	2015-06-23	614	A
USGS	09429600	2015-06-24	536	A
USGS	09429600	2015-06-25	500	A
USGS	09429600	2015-06-26	506	A
USGS	09429600	2015-06-27	503	A
USGS	09429600	2015-06-28	504	A
USGS	09429600	2015-06-29	498	A
USGS	09429600	2015-06-30	457	A
USGS	09429600	2015-07-01	439	A
USGS	09429600	2015-07-02	442	A
USGS	09429600	2015-07-03	438	A
USGS	09429600	2015-07-04	444	A
USGS	09429600	2015-07-05	443	A
USGS	09429600	2015-07-06	439	A
USGS	09429600	2015-07-07	439	A
USGS	09429600	2015-07-08	441	A
USGS	09429600	2015-07-09	450	A
USGS	09429600	2015-07-10	454	A
USGS	09429600	2015-07-11	512	A
USGS	09429600	2015-07-12	542	A
USGS	09429600	2015-07-13	567	A
USGS	09429600	2015-07-14	589	A
USGS	09429600	2015-07-15	575	A
USGS	09429600	2015-07-16	503	A
USGS	09429600	2015-07-17	473	A
USGS	09429600	2015-07-18	479	A
USGS	09429600	2015-07-19	485	A
USGS	09429600	2015-07-20	488	A
USGS	09429600	2015-07-21	487	A
USGS	09429600	2015-07-22	473	A
USGS	09429600	2015-07-23	461	A
USGS	09429600	2015-07-24	450	A
USGS	09429600	2015-07-25	446	A
USGS	09429600	2015-07-26	441	A
USGS	09429600	2015-07-27	436	A
USGS	09429600	2015-07-28	431	A
USGS	09429600	2015-07-29	430	A
USGS	09429600	2015-07-30	441	A
USGS	09429600	2015-07-31	457	A
USGS	09429600	2015-08-01	465	A
USGS	09429600	2015-08-02	472	A
USGS	09429600	2015-08-03	476	A
USGS	09429600	2015-08-04	554	A
USGS	09429600	2015-08-05	591	A
USGS	09429600	2015-08-06	591	A
USGS	09429600	2015-08-07	584	A
USGS	09429600	2015-08-08	565	A
USGS	09429600	2015-08-09	754	A
USGS	09429600	2015-08-10	974	A
USGS	09429600	2015-08-11	959	A
USGS	09429600	2015-08-12	665	A
USGS	09429600	2015-08-13	469	A
USGS	09429600	2015-08-14	479	A
USGS	09429600	2015-08-15	483	A
USGS	09429600	2015-08-16	485	A
USGS	09429600	2015-08-17	483	A
USGS	09429600	2015-08-18	465	A
USGS	09429600	2015-08-19	453	A
USGS	09429600	2015-08-20	452	A
USGS	09429600	2015-08-21	464	A
USGS	09429600	2015-08-22	468	A
USGS	09429600	2015-08-23	463	A
USGS	09429600	2015-08-24	460	A
USGS	09429600	2015-08-25	459	A
USGS	09429600	2015-08-26	458	A
USGS	09429600	2015-08-27	459	A
USGS	09429600	2015-08-28	466	A
USGS	09429600	2015-08-29	472	A
USGS	09429600	2015-08-30	468	A
USGS	09429600	2015-08-31	469	A
USGS	09429600	2015-09-01	465	A
USGS	09429600	2015-09-02	461	A
USGS	09429600	2015-09-03	449	A
USGS	09429600	2015-09-04	437	A
USGS	09429600	2015-09-05	441	A
USGS	09429600	2015-09-06	448	A
USGS	09429600	2015-09-07	450	A
USGS	09429600	2015-09-08	454	A
USGS	09429600	2015-09-09	444	A
USGS	09429600	2015-09-10	412	A
USGS	09429600	2015-09-11	373	A
USGS	09429600	2015-09-12	373	A
USGS	09429600	2015-09-13	375	A
USGS	09429600	2015-09-14	379	A
USGS	09429600	2015-09-15	428	A
USGS	09429600	2015-09-16	457	A
USGS	09429600	2015-09-17	412	A
USGS	09429600	2015-09-18	424	A
USGS	09429600	2015-09-19	429	A
USGS	09429600	2015-09-20	424	A
USGS	09429600	2015-09-21	395	A
USGS	09429600	2015-09-22	340	A
USGS	09429600	2015-09-23	346	A
USGS	09429600	2015-09-24	350	A
USGS	09429600	2015-09-25	355	A
USGS	09429600	2015-09-26	361	A
USGS	09429600	2015-09-27	361	A
USGS	09429600	2015-09-28	262	A
USGS	09429600	2015-09-29	304	A
USGS	09429600	2015-09-30	392	A
USGS	09429600	2015-10-01	319	A
USGS	09429600	2015-10-02	299	A
USGS	09429600	2015-10-03	283	A
USGS	09429600	2015-10-04	269	A
USGS	09429600	2015-10-05	255	A
USGS	09429600	2015-10-06	245	A
USGS	09429600	2015-10-07	275	A
USGS	09429600	2015-10-08	304	A
USGS	09429600	2015-10-09	316	A
USGS	09429600	2015-10-10	322	A
USGS	09429600	2015-10-11	328	A
USGS	09429600	2015-10-12	330	A
USGS	09429600	2015-10-13	331	A
USGS	09429600	2015-10-14	313	A
USGS	09429600	2015-10-15	300	A
USGS	09429600	2015-10-16	293	A
USGS	09429600	2015-10-17	295	A
USGS	09429600	2015-10-18	303	A
USGS	09429600	2015-10-19	311	A
USGS	09429600	2015-10-20	312	A
USGS	09429600	2015-10-21	309	A
USGS	09429600	2015-10-22	295	A
USGS	09429600	2015-10-23	293	A
USGS	09429600	2015-10-24	294	A
USGS	09429600	2015-10-25	301	A
USGS	09429600	2015-10-26	294	A
USGS	09429600	2015-10-27	287	A
USGS	09429600	2015-10-28	291	A
USGS	09429600	2015-10-29	292	A
USGS	09429600	2015-10-30	286	A
USGS	09429600	2015-10-31	294	A
USGS	09429600	2015-11-01	296	A
USGS	09429600	2015-11-02	292	A
USGS	09429600	2015-11-03	302	A
USGS	09429600	2015-11-04	310	A
USGS	09429600	2015-11-05	314	A
USGS	09429600	2015-11-06	318	A
USGS	09429600	2015-11-07	323	A
USGS	09429600	2015-11-08	327	A
USGS	09429600	2015-11-09	358	A
USGS	09429600	2015-11-10	375	A
USGS	09429600	2015-11-11	370	A
USGS	09429600	2015-11-12	374	A
USGS	09429600	2015-11-13	382	A
USGS	09429600	2015-11-14	388	A
USGS	09429600	2015-11-15	388	A
USGS	09429600	2015-11-16	412	A
USGS	09429600	2015-11-17	454	A
USGS	09429600	2015-11-18	503	A
USGS	09429600	2015-11-19	524	A
USGS	09429600	2015-11-20	551	A
USGS	09429600	2015-11-21	532	A
USGS	09429600	2015-11-22	535	A
USGS	09429600	2015-11-23	420	A
USGS	09429600	2015-11-24	345	A
USGS	09429600	2015-11-25	339	A
USGS	09429600	2015-11-26	342	A
USGS	09429600	2015-11-27	348	A
USGS	09429600	2015-11-28	358	A
USGS	09429600	2015-11-29	362	A
USGS	09429600	2015-11-30	380	A
USGS	09429600	2015-12-01	396	A
USGS	09429600	2015-12-02	398	A
USGS	09429600	2015-12-03	402	A
USGS	09429600	2015-12-04	403	A
USGS	09429600	2015-12-05	402	A
USGS	09429600	2015-12-06	388	A
USGS	09429600	2015-12-07	375	A
USGS	09429600	2015-12-08	368	A
USGS	09429600	2015-12-09	362	A
USGS	09429600	2015-12-10	358	A
USGS	09429600	2015-12-11	357	A
USGS	09429600	2015-12-12	354	A
USGS	09429600	2015-12-13	362	A
USGS	09429600	2015-12-14	365	A
USGS	09429600	2015-12-15	355	A
USGS	09429600	2015-12-16	348	A
USGS	09429600	2015-12-17	351	A
USGS	09429600	2015-12-18	352	A
USGS	09429600	2015-12-19	361	A
USGS	09429600	2015-12-20	365	A
USGS	09429600	2015-12-21	364	A
USGS	09429600	2015-12-22	370	A
USGS	09429600	2015-12-23	371	A
USGS	09429600	2015-12-24	375	A
USGS	09429600	2015-12-25	376	A
USGS	09429600	2015-12-26	370	A
USGS	09429600	2015-12-27	371	A
USGS	09429600	2015-12-28	370	A
USGS	09429600	2015-12-29	365	A
USGS	09429600	2015-12-30	381	A
USGS	09429600	2015-12-31	388	A
USGS	09429600	2016-01-01	387	A
USGS	09429600	2016-01-02	383	A
USGS	09429600	2016-01-03	386	A
USGS	09429600	2016-01-04	386	A
USGS	09429600	2016-01-05	387	A
USGS	09429600	2016-01-06	392	A
USGS	09429600	2016-01-07	841	A
USGS	09429600	2016-01-08	752	A
USGS	09429600	2016-01-09	448	A
USGS	09429600	2016-01-10	431	A
USGS	09429600	2016-01-11	423	A
USGS	09429600	2016-01-12	417	A
USGS	09429600	2016-01-13	409	A
USGS	09429600	2016-01-14	401	A
USGS	09429600	2016-01-15	396	A
USGS	09429600	2016-01-16	392	A
USGS	09429600	2016-01-17	387	A
USGS	09429600	2016-01-18	406	A
USGS	09429600	2016-01-19	424	A
USGS	09429600	2016-01-20	489	A
USGS	09429600	2016-01-21	528	A
USGS	09429600	2016-01-22	518	A
USGS	09429600	2016-01-23	498	A
USGS	09429600	2016-01-24	476	A
USGS	09429600	2016-01-25	455	A
USGS	09429600	2016-01-26	394	A
USGS	09429600	2016-01-27	335	A
USGS	09429600	2016-01-28	317	A
USGS	09429600	2016-01-29	322	A
USGS	09429600	2016-01-30	331	A
USGS	09429600	2016-01-31	346	A
USGS	09429600	2016-02-01	352	A
USGS	09429600	2016-02-02	366	A
USGS	09429600	2016-02-03	372	A
USGS	09429600	2016-02-04	372	A
USGS	09429600	2016-02-05	376	A
USGS	09429600	2016-02-06	384	A
USGS	09429600	2016-02-07	389	A
USGS	09429600	2016-02-08	388	A
USGS	09429600	2016-02-09	388	A
USGS	09429600	2016-02-10	409	A
USGS	09429600	2016-02-11	442	A
USGS	09429600	2016-02-12	435	A
USGS	09429600	2016-02-13	429	A
USGS	09429600	2016-02-14	425	A
USGS	09429600	2016-02-15	422	A
USGS	09429600	2016-02-16	419	A
USGS	09429600	2016-02-17	414	A
USGS	09429600	2016-02-18	386	A
USGS	09429600	2016-02-19	369	A
USGS	09429600	2016-02-20	377	A
USGS	09429600	2016-02-21	383	A
USGS	09429600	2016-02-22	384	A
USGS	09429600	2016-02-23	392	A
USGS	09429600	2016-02-24	412	A
USGS	09429600	2016-02-25	418	A
USGS	09429600	2016-02-26	403	A
USGS	09429600	2016-02-27	394	A
USGS	09429600	2016-02-28	385	A
USGS	09429600	2016-02-29	383	A
USGS	09429600	2016-03-01	398	A
USGS	09429600	2016-03-02	422	A
USGS	09429600	2016-03-03	419	A
USGS	09429600	2016-03-04	416	A
USGS	09429600	2016-03-05	415	A
USGS	09429600	2016-03-06	415	A
USGS	09429600	2016-03-07	419	A
USGS	09429600	2016-03-08	414	A
USGS	09429600	2016-03-09	410	A
USGS	09429600	2016-03-10	414	A
USGS	09429600	2016-03-11	425	A
USGS	09429600	2016-03-12	427	A
USGS	09429600	2016-03-13	429	A
USGS	09429600	2016-03-14	425	A
USGS	09429600	2016-03-15	421	A
USGS	09429600	2016-03-16	430	A
USGS	09429600	2016-03-17	427	A
USGS	09429600	2016-03-18	418	A
USGS	09429600	2016-03-19	413	A
USGS	09429600	2016-03-20	412	A
USGS	09429600	2016-03-21	417	A
USGS	09429600	2016-03-22	430	A
USGS	09429600	2016-03-23	422	A
USGS	09429600	2016-03-24	408	A
USGS	09429600	2016-03-25	412	A
USGS	09429600	2016-03-26	419	A
USGS	09429600	2016-03-27	423	A
USGS	09429600	2016-03-28	424	A
USGS	09429600	2016-03-29	419	A
USGS	09429600	2016-03-30	412	A
USGS	09429600	2016-03-31	404	A
USGS	09429600	2016-04-01	407	A
USGS	09429600	2016-04-02	413	A
USGS	09429600	2016-04-03	404	A
USGS	09429600	2016-04-04	400	A
USGS	09429600	2016-04-05	386	A
USGS	09429600	2016-04-06	388	A
USGS	09429600	2016-04-07	392	A
USGS	09429600	2016-04-08	395	A
USGS	09429600	2016-04-09	404	A
USGS	09429600	2016-04-10	1050	A
USGS	09429600	2016-04-11	939	A
USGS	09429600	2016-04-12	523	A
USGS	09429600	2016-04-13	486	A
USGS	09429600	2016-04-14	472	A
USGS	09429600	2016-04-15	464	A
USGS	09429600	2016-04-16	457	A
USGS	09429600	2016-04-17	454	A
USGS	09429600	2016-04-18	441	A
USGS	09429600	2016-04-19	427	A
USGS	09429600	2016-04-20	421	A
USGS	09429600	2016-04-21	419	A
USGS	09429600	2016-04-22	415	A
USGS	09429600	2016-04-23	411	A
USGS	09429600	2016-04-24	409	A
USGS	09429600	2016-04-25	412	A
USGS	09429600	2016-04-26	415	A
USGS	09429600	2016-04-27	418	A
USGS	09429600	2016-04-28	421	A
USGS	09429600	2016-04-29	418	A
USGS	09429600	2016-04-30	415	A
USGS	09429600	2016-05-01	413	A
USGS	09429600	2016-05-02	402	A
USGS	09429600	2016-05-03	401	A
USGS	09429600	2016-05-04	405	A
USGS	09429600	2016-05-05	408	A
USGS	09429600	2016-05-06	418	A
USGS	09429600	2016-05-07	422	A
USGS	09429600	2016-05-08	424	A
USGS	09429600	2016-05-09	422	A
USGS	09429600	2016-05-10	426	A
USGS	09429600	2016-05-11	426	A
USGS	09429600	2016-05-12	406	A
USGS	09429600	2016-05-13	388	A
USGS	09429600	2016-05-14	409	A
USGS	09429600	2016-05-15	420	A
USGS	09429600	2016-05-16	426	A
USGS	09429600	2016-05-17	429	A
USGS	09429600	2016-05-18	425	A
USGS	09429600	2016-05-19	416	A
USGS	09429600	2016-05-20	408	A
USGS	09429600	2016-05-21	405	A
USGS	09429600	2016-05-22	400	A
USGS	09429600	2016-05-23	403	A
USGS	09429600	2016-05-24	406	A
USGS	09429600	2016-05-25	401	A
USGS	09429600	2016-05-26	403	A
USGS	09429600	2016-05-27	412	A
USGS	09429600	2016-05-28	414	A
USGS	09429600	2016-05-29	409	A
USGS	09429600	2016-05-30	404	A
USGS	09429600	2016-05-31	399	A
USGS	09429600	2016-06-01	392	A
USGS	09429600	2016-06-02	394	A
USGS	09429600	2016-06-03	377	A
USGS	09429600	2016-06-04	378	A
USGS	09429600	2016-06-05	397	A
USGS	09429600	2016-06-06	401	A
USGS	09429600	2016-06-07	398	A
USGS	09429600	2016-06-08	407	A
USGS	09429600	2016-06-09	428	A
USGS	09429600	2016-06-10	425	A
USGS	09429600	2016-06-11	400	A
USGS	09429600	2016-06-12	388	A
USGS	09429600	2016-06-13	380	A
USGS	09429600	2016-06-14	379	A
USGS	09429600	2016-06-15	377	A
USGS	09429600	2016-06-16	372	A
USGS	09429600	2016-06-17	385	A
USGS	09429600	2016-06-18	380	A
USGS	09429600	2016-06-19	374	A
USGS	09429600	2016-06-20	362	A
USGS	09429600	2016-06-21	361	A
USGS	09429600	2016-06-22	370	A
USGS	09429600	2016-06-23	370	A
USGS	09429600	2016-06-24	372	A
USGS	09429600	2016-06-25	369	A
USGS	09429600	2016-06-26	369	A
USGS	09429600	2016-06-27	370	A
USGS	09429600	2016-06-28	374	A
USGS	09429600	2016-06-29	392	A
USGS	09429600	2016-06-30	403	A
USGS	09429600	2016-07-01	398	A
USGS	09429600	2016-07-02	389	A
USGS	09429600	2016-07-03	392	A
USGS	09429600	2016-07-04	388	A
USGS	09429600	2016-07-05	391	A
USGS	09429600	2016-07-06	407	A
USGS	09429600	2016-07-07	395	A
USGS	09429600	2016-07-08	382	A
USGS	09429600	2016-07-09	360	A
USGS	09429600	2016-07-10	365	A
USGS	09429600	2016-07-11	360	A
USGS	09429600	2016-07-12	365	A
USGS	09429600	2016-07-13	371	A
USGS	09429600	2016-07-14	376	A
USGS	09429600	2016-07-15	374	A
USGS	09429600	2016-07-16	378	A
USGS	09429600	2016-07-17	382	A
USGS	09429600	2016-07-18	372	A
USGS	09429600	2016-07-19	374	A
USGS	09429600	2016-07-20	372	A
USGS	09429600	2016-07-21	370	A
USGS	09429600	2016-07-22	386	A
USGS	09429600	2016-07-23	394	A
USGS	09429600	2016-07-24	390	A
USGS	09429600	2016-07-25	384	A
USGS	09429600	2016-07-26	387	A
USGS	09429600	2016-07-27	485	A
USGS	09429600	2016-07-28	515	A
USGS	09429600	2016-07-29	420	A
USGS	09429600	2016-07-30	398	A
USGS	09429600	2016-07-31	404	A
USGS	09429600	2016-08-01	320	A
USGS	09429600	2016-08-02	227	A
USGS	09429600	2016-08-03	213	A
USGS	09429600	2016-08-04	217	A
USGS	09429600	2016-08-05	232	A
USGS	09429600	2016-08-06	269	A
USGS	09429600	2016-08-07	295	A
USGS	09429600	2016-08-08	309	A
USGS	09429600	2016-08-09	325	A
USGS	09429600	2016-08-10	363	A
USGS	09429600	2016-08-11	358	A
USGS	09429600	2016-08-12	348	A
USGS	09429600	2016-08-13	390	A
USGS	09429600	2016-08-14	756	A
USGS	09429600	2016-08-15	1350	A
USGS	09429600	2016-08-16	1200	A
USGS	09429600	2016-08-17	1120	A
USGS	09429600	2016-08-18	1040	A
USGS	09429600	2016-08-19	949	A
USGS	09429600	2016-08-20	956	A
USGS	09429600	2016-08-21	918	A
USGS	09429600	2016-08-22	527	A
USGS	09429600	2016-08-23	319	A
USGS	09429600	2016-08-24	325	A
USGS	09429600	2016-08-25	334	A
USGS	09429600	2016-08-26	351	A
USGS	09429600	2016-08-27	361	A
USGS	09429600	2016-08-28	370	A
USGS	09429600	2016-08-29	373	A
USGS	09429600	2016-08-30	364	A
USGS	09429600	2016-08-31	346	A
USGS	09429600	2016-09-01	364	A
USGS	09429600	2016-09-02	382	A
USGS	09429600	2016-09-03	364	A
USGS	09429600	2016-09-04	366	A
USGS	09429600	2016-09-05	375	A
USGS	09429600	2016-09-06	385	A
USGS	09429600	2016-09-07	385	A
USGS	09429600	2016-09-08	393	A
USGS	09429600	2016-09-09	402	A
USGS	09429600	2016-09-10	385	A
USGS	09429600	2016-09-11	374	A
USGS	09429600	2016-09-12	364	A
USGS	09429600	2016-09-13	351	A
USGS	09429600	2016-09-14	360	A
USGS	09429600	2016-09-15	381	A
USGS	09429600	2016-09-16	386	A
USGS	09429600	2016-09-17	385	A
USGS	09429600	2016-09-18	373	A
USGS	09429600	2016-09-19	387	A
USGS	09429600	2016-09-20	395	A
USGS	09429600	2016-09-21	391	A
USGS	09429600	2016-09-22	399	A
USGS	09429600	2016-09-23	398	A
USGS	09429600	2016-09-24	395	A
USGS	09429600	2016-09-25	395	A
USGS	09429600	2016-09-26	399	A
USGS	09429600	2016-09-27	401	A
USGS	09429600	2016-09-28	404	A
USGS	09429600	2016-09-29	339	A
USGS	09429600	2016-09-30	284	A
USGS	09429600	2016-10-01	277	A
USGS	09429600	2016-10-02	263	A
USGS	09429600	2016-10-03	257	A
USGS	09429600	2016-10-04	262	A
USGS	09429600	2016-10-05	257	A
USGS	09429600	2016-10-06	259	A
USGS	09429600	2016-10-07	260	A
USGS	09429600	2016-10-08	263	A
USGS	09429600	2016-10-09	267	A
USGS	09429600	2016-10-10	264	A
USGS	09429600	2016-10-11	260	A
USGS	09429600	2016-10-12	252	A
USGS	09429600	2016-10-13	245	A
USGS	09429600	2016-10-14	244	A
USGS	09429600	2016-10-15	244	A
USGS	09429600	2016-10-16	240	A
USGS	09429600	2016-10-17	237	A
USGS	09429600	2016-10-18	230	A
USGS	09429600	2016-10-19	224	A
USGS	09429600	2016-10-20	225	A
USGS	09429600	2016-10-21	231	A
USGS	09429600	2016-10-22	236	A
USGS	09429600	2016-10-23	235	A
USGS	09429600	2016-10-24	235	A
USGS	09429600	2016-10-25	237	A
USGS	09429600	2016-10-26	237	A
USGS	09429600	2016-10-27	239	A
USGS	09429600	2016-10-28	237	A
USGS	09429600	2016-10-29	231	A
USGS	09429600	2016-10-30	224	A
USGS	09429600	2016-10-31	230	A
USGS	09429600	2016-11-01	227	A
USGS	09429600	2016-11-02	223	A
USGS	09429600	2016-11-03	231	A
USGS	09429600	2016-11-04	242	A
USGS	09429600	2016-11-05	247	A
USGS	09429600	2016-11-06	246	A
USGS	09429600	2016-11-07	244	A
USGS	09429600	2016-11-08	231	A
