# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-03-07 17:42:48 EST       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01193050 CONNECTICUT RIVER AT MIDDLE HADDAM, CT
# -----------------------------------------------------------------------------------
#
# Data provided for site 01193050
#            TS   parameter     statistic     Description
#         64798       72137     00003     Discharge, tidally filtered, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	64798_72137_00003	64798_72137_00003_cd
5s	15s	20d	14n	10s
USGS	01193050	2015-01-01	33400	A
USGS	01193050	2015-01-02	25300	A
USGS	01193050	2015-01-03	19300	A
USGS	01193050	2015-01-04	20200	A
USGS	01193050	2015-01-05	22200	A
USGS	01193050	2015-01-06	18900	A:e
USGS	01193050	2015-01-07	17200	A:e
USGS	01193050	2015-01-08	16700	A:e
USGS	01193050	2015-01-09	21500	A:e
USGS	01193050	2015-01-10	19100	A:e
USGS	01193050	2015-01-11	18700	A:e
USGS	01193050	2015-01-12	16400	A:e
USGS	01193050	2015-01-13	15700	A:e
USGS	01193050	2015-01-14	16700	A:e
USGS	01193050	2015-01-15	17800	A:e
USGS	01193050	2015-01-16	15000	A:e
USGS	01193050	2015-01-17	12400	A:e
USGS	01193050	2015-01-18	12100	A:e
USGS	01193050	2015-01-19	18100	A
USGS	01193050	2015-01-20	24300	A
USGS	01193050	2015-01-21	28700	A
USGS	01193050	2015-01-22	28800	A
USGS	01193050	2015-01-23	26600	A
USGS	01193050	2015-01-24	21900	A
USGS	01193050	2015-01-25	20100	A
