# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-03-04 09:12:21 EST       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 07374000 Mississippi River at Baton Rouge, LA
# -----------------------------------------------------------------------------------
#
# Data provided for site 07374000
#            TS   parameter     statistic     Description
#         61176       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	61176_00060_00003	61176_00060_00003_cd
5s	15s	20d	14n	10s
USGS	07374000	2015-01-01	345000	A
USGS	07374000	2015-01-02	353000	A
USGS	07374000	2015-01-03	364000	A
USGS	07374000	2015-01-04	398000	A
USGS	07374000	2015-01-05	433000	A
USGS	07374000	2015-01-06	466000	A
USGS	07374000	2015-01-07	495000	A
USGS	07374000	2015-01-08	516000	A
USGS	07374000	2015-01-09	529000	A
USGS	07374000	2015-01-10	537000	A
USGS	07374000	2015-01-11	545000	A
USGS	07374000	2015-01-12	552000	A
USGS	07374000	2015-01-13	556000	A
USGS	07374000	2015-01-14	557000	A
USGS	07374000	2015-01-15	556000	A
USGS	07374000	2015-01-16	549000	A
USGS	07374000	2015-01-17	538000	A
USGS	07374000	2015-01-18	522000	A
USGS	07374000	2015-01-19	505000	A
USGS	07374000	2015-01-20	486000	A
USGS	07374000	2015-01-21	466000	A
USGS	07374000	2015-01-22	450000	A
USGS	07374000	2015-01-23	445000	A
USGS	07374000	2015-01-24	435000	A
USGS	07374000	2015-01-25	427000	A
USGS	07374000	2015-01-26	419000	A
USGS	07374000	2015-01-27	409000	A
USGS	07374000	2015-01-28	396000	A
USGS	07374000	2015-01-29	380000	A
USGS	07374000	2015-01-30	364000	A
USGS	07374000	2015-01-31	349000	A
USGS	07374000	2015-02-01	339000	A
USGS	07374000	2015-02-02	332000	A
USGS	07374000	2015-02-03	326000	A
USGS	07374000	2015-02-04	322000	A
USGS	07374000	2015-02-05	321000	A
USGS	07374000	2015-02-06	320000	A
USGS	07374000	2015-02-07	318000	A
USGS	07374000	2015-02-08	319000	A
USGS	07374000	2015-02-09	319000	A
USGS	07374000	2015-02-10	319000	A
USGS	07374000	2015-02-11	320000	A
USGS	07374000	2015-02-12	320000	A
USGS	07374000	2015-02-13	323000	A
USGS	07374000	2015-02-14	329000	A
USGS	07374000	2015-02-15	336000	A
USGS	07374000	2015-02-16	344000	A
USGS	07374000	2015-02-17	345000	A
USGS	07374000	2015-02-18	337000	A
USGS	07374000	2015-02-19	330000	A
USGS	07374000	2015-02-20	327000	A
USGS	07374000	2015-02-21	330000	A
USGS	07374000	2015-02-22	327000	A
USGS	07374000	2015-02-23	326000	A
USGS	07374000	2015-02-24	332000	A
USGS	07374000	2015-02-25	350000	A
USGS	07374000	2015-02-26	371000	A
USGS	07374000	2015-02-27	391000	A
USGS	07374000	2015-02-28	409000	A
USGS	07374000	2015-03-01	427000	A
USGS	07374000	2015-03-02	462000	A
USGS	07374000	2015-03-03	493000	A
USGS	07374000	2015-03-04	515000	A
USGS	07374000	2015-03-05	532000	A
USGS	07374000	2015-03-06	541000	A
USGS	07374000	2015-03-07	550000	A
USGS	07374000	2015-03-08	558000	A
USGS	07374000	2015-03-09	567000	A
USGS	07374000	2015-03-10	582000	A
USGS	07374000	2015-03-11	604000	A
