# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-03-09 15:35:10 EST       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 15304000 KUSKOKWIM R AT CROOKED CREEK AK
# -----------------------------------------------------------------------------------
#
# Data provided for site 15304000
#            TS   parameter     statistic     Description
#           995       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	995_00060_00003	995_00060_00003_cd
5s	15s	20d	14n	10s
USGS	15304000	2015-01-01	10500	A:e
USGS	15304000	2015-01-02	10500	A:e
USGS	15304000	2015-01-03	10500	A:e
USGS	15304000	2015-01-04	10000	A:e
USGS	15304000	2015-01-05	10000	A:e
USGS	15304000	2015-01-06	10000	A:e
USGS	15304000	2015-01-07	10000	A:e
USGS	15304000	2015-01-08	10000	A:e
USGS	15304000	2015-01-09	10000	A:e
USGS	15304000	2015-01-10	10000	A:e
USGS	15304000	2015-01-11	10000	A:e
USGS	15304000	2015-01-12	10000	A:e
USGS	15304000	2015-01-13	10000	A:e
USGS	15304000	2015-01-14	10000	A:e
USGS	15304000	2015-01-15	10000	A:e
USGS	15304000	2015-01-16	10000	A:e
USGS	15304000	2015-01-17	10000	A:e
USGS	15304000	2015-01-18	10000	A:e
USGS	15304000	2015-01-19	10000	A:e
USGS	15304000	2015-01-20	10000	A:e
USGS	15304000	2015-01-21	10000	A:e
USGS	15304000	2015-01-22	10000	A:e
USGS	15304000	2015-01-23	10000	A:e
USGS	15304000	2015-01-24	10000	A:e
USGS	15304000	2015-01-25	10000	A:e
USGS	15304000	2015-01-26	10000	A:e
USGS	15304000	2015-01-27	10000	A:e
USGS	15304000	2015-01-28	10000	A:e
USGS	15304000	2015-01-29	10000	A:e
USGS	15304000	2015-01-30	10000	A:e
USGS	15304000	2015-01-31	10000	A:e
USGS	15304000	2015-02-01	10000	A:e
USGS	15304000	2015-02-02	10000	A:e
USGS	15304000	2015-02-03	10000	A:e
USGS	15304000	2015-02-04	10000	A:e
USGS	15304000	2015-02-05	10000	A:e
USGS	15304000	2015-02-06	10000	A:e
USGS	15304000	2015-02-07	10000	A:e
USGS	15304000	2015-02-08	10000	A:e
USGS	15304000	2015-02-09	10000	A:e
USGS	15304000	2015-02-10	10000	A:e
USGS	15304000	2015-02-11	10000	A:e
USGS	15304000	2015-02-12	10000	A:e
USGS	15304000	2015-02-13	10000	A:e
USGS	15304000	2015-02-14	10000	A:e
USGS	15304000	2015-02-15	10000	A:e
USGS	15304000	2015-02-16	10000	A:e
USGS	15304000	2015-02-17	10000	A:e
USGS	15304000	2015-02-18	10000	A:e
USGS	15304000	2015-02-19	10000	A:e
USGS	15304000	2015-02-20	10000	A:e
USGS	15304000	2015-02-21	10000	A:e
USGS	15304000	2015-02-22	10000	A:e
USGS	15304000	2015-02-23	10000	A:e
USGS	15304000	2015-02-24	10000	A:e
USGS	15304000	2015-02-25	10000	A:e
USGS	15304000	2015-02-26	10000	A:e
USGS	15304000	2015-02-27	10000	A:e
USGS	15304000	2015-02-28	10000	A:e
USGS	15304000	2015-03-01	10000	A:e
USGS	15304000	2015-03-02	10000	A:e
USGS	15304000	2015-03-03	10000	A:e
USGS	15304000	2015-03-04	10000	A:e
USGS	15304000	2015-03-05	10000	A:e
USGS	15304000	2015-03-06	10000	A:e
USGS	15304000	2015-03-07	10000	A:e
USGS	15304000	2015-03-08	10000	A:e
USGS	15304000	2015-03-09	10000	A:e
USGS	15304000	2015-03-10	10000	A:e
USGS	15304000	2015-03-11	10000	A:e
USGS	15304000	2015-03-12	10000	A:e
USGS	15304000	2015-03-13	10000	A:e
USGS	15304000	2015-03-14	10000	A:e
USGS	15304000	2015-03-15	10000	A:e
USGS	15304000	2015-03-16	10000	A:e
USGS	15304000	2015-03-17	10000	A:e
USGS	15304000	2015-03-18	10000	A:e
USGS	15304000	2015-03-19	10000	A:e
USGS	15304000	2015-03-20	10000	A:e
USGS	15304000	2015-03-21	10500	A:e
USGS	15304000	2015-03-22	10500	A:e
USGS	15304000	2015-03-23	11000	A:e
USGS	15304000	2015-03-24	11500	A:e
USGS	15304000	2015-03-25	11500	A:e
USGS	15304000	2015-03-26	11500	A:e
USGS	15304000	2015-03-27	12000	A:e
USGS	15304000	2015-03-28	12000	A:e
USGS	15304000	2015-03-29	12000	A:e
USGS	15304000	2015-03-30	12000	A:e
USGS	15304000	2015-03-31	12000	A:e
USGS	15304000	2015-04-01	12500	A:e
USGS	15304000	2015-04-02	12500	A:e
USGS	15304000	2015-04-03	13000	A:e
USGS	15304000	2015-04-04	13000	A:e
USGS	15304000	2015-04-05	13500	A:e
USGS	15304000	2015-04-06	14000	A:e
USGS	15304000	2015-04-07	14500	A:e
USGS	15304000	2015-04-08	15000	A:e
USGS	15304000	2015-04-09	15000	A:e
USGS	15304000	2015-04-10	15500	A:e
USGS	15304000	2015-04-11	16000	A:e
USGS	15304000	2015-04-12	16500	A:e
USGS	15304000	2015-04-13	17000	A:e
USGS	15304000	2015-04-14	17000	A:e
